Grade	Subject	Chapter Name	Learning Outcomes
CLASS_12	Accountancy	Share	Capital Issue.
CLASS_12	Accountancy	Debentures	Redemption.
CLASS_12	Business Studies	Management	Significance.
CLASS_12	Business Studies	Business	Environment Impact.
CLASS_12	Business Studies	Planning	Types.
CLASS_12	Business Studies	Organising	Delegation.
CLASS_12	Business Studies	Staffing	Recruitment.
CLASS_12	Business Studies	Directing	Leadership.
CLASS_12	Business Studies	Controlling	Deviations.
CLASS_12	Business Studies	Financial Management	Capital.
CLASS_12	Business Studies	Marketing	Mix.
CLASS_12	Economics	National Income	GDP.
CLASS_12	Economics	Money & Banking	Credit.
CLASS_12	Economics	Income Determination	Multiplier.
CLASS_12	Economics	Government Budget	Deficit.
CLASS_12	Economics	Balance of Payments	Forex.
CLASS_12	Economics	Employment	Reforms.
CLASS_12	Economics	Sustainable Development	Environment.
CLASS_12	Economics	Human	Capital Education.
CLASS_12	Economics	Rural Development	Infrastructure.
CLASS_12	Political Science	Cold	War Bipolarity.
CLASS_12	Political Science	End of	Bipolarity USSR collapse.
CLASS_12	Political Science	US Hegemony	Dominance.
CLASS_12	Political Science	Alternative Centres	EU/ASEAN.
CLASS_12	Political Science	South Asia	Neighbours.
CLASS_12	Political Science	International Orgs	UN.
CLASS_12	Political Science	Nation-Building	Integration.
CLASS_12	Political Science	Planning	Five-year plans.
CLASS_12	Political Science	External Relations	Policy.
CLASS_12	Political Science	Emergency 1975	Impact.
CLASS_12	Political Science	Recent Developments	Coalition.
CLASS_12	Geography	Human Geography	Scope.
CLASS_12	Geography	Population	Growth.
CLASS_12	Geography	Migration	Causes.
CLASS_12	Geography	Human Development	Indicators.
CLASS_12	Geography	Human	Settlements Urban planning.
CLASS_12	Geography	Resources	Conservation.
CLASS_12	Geography	Geographical Perspective	Pollution.
CLASS_12	Sociology	Indian Society	Unity.
CLASS_12	Sociology	Social Institutions	Kinship.
CLASS_12	Sociology	Social Stratification	Caste.
CLASS_12	Sociology	Change & Development	Urbanisation.
CLASS_12	Psychology	Intelligence	IQ.
CLASS_12	Psychology	Self & Personality	Traits.
CLASS_12	Psychology	Disorders	Symptoms.
CLASS_12	Psychology	Therapeutic Approaches	CBT.
CLASS_12	Psychology	Attitude	Prejudice.
CLASS_12	Psychology	Social Influence	Obedience.
CLASS_12	Psychology	Work & Well-being	Stress.
CLASS_12	Computer Science	Python Revision	Lists.
CLASS_12	Computer Science	File Handling	Binary.
CLASS_12	Computer Science	Networks	Protocols.
CLASS_12	Computer Science	Cyber Safety	Ethics.
